,2010,2020,2025,2030,2035,3010,3020,3021,3110,3120,3121,4020,4025,4030,4035,4040,4070,4080,4090,4100,4110,assessment_taken,part_of_day,playtime_vs_avg,time_playing_for,times_took_asses
28,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,1.86,1.556186,0,29910,29
29,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,,1.556186,0,86840,
30,5,61,3,55,3,283,30,65,278,29,63,203,41,235,20,19,297,0,0,17,4,,1.556186,0.023482,155946,
31,1,19,1,5,0,61,2,6,53,2,5,35,15,52,3,0,45,0,0,2,2,,1.502395,0,0,
32,1,19,1,5,0,61,2,6,53,2,5,35,15,52,3,0,45,0,0,2,2,2.08,1.502395,0,13187,17
33,1,19,1,5,0,61,2,6,53,2,5,35,15,52,3,0,45,0,0,2,2,,1.502395,0.835443,6081,
34,1,19,1,5,0,61,2,6,53,2,5,35,15,52,3,0,45,0,0,2,2,,1.556186,6.365385,249,
35,2,7,0,6,0,14,16,8,14,16,8,30,17,56,10,0,47,0,0,3,0,,1.502395,0,0,
36,2,7,0,6,0,14,16,8,14,16,8,30,17,56,10,0,47,0,0,3,0,,1.502395,0,0,
37,2,7,0,6,0,14,16,8,14,16,8,30,17,56,10,0,47,0,0,3,0,,1.502395,0,0,
38,1,4,0,1,0,60,1,1,59,1,1,50,2,99,32,7,160,0,3,2,0,,1.502395,-8.102632,0,
39,1,4,0,1,0,60,1,1,59,1,1,50,2,99,32,7,160,0,3,2,0,1.86,1.502395,-7.127315,66492,52
40,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,0.271787,0,
41,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.424307,70672,
42,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.384541,0,
43,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-1.192593,107543,
44,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.969296,155119,
45,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.887541,21250,
46,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,1.14,1.502395,-0.850053,97965,203
47,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.81643,62312,78
48,2,47,8,30,3,215,114,42,206,113,41,203,118,271,31,21,454,0,3,19,25,,1.502395,-0.76412,0,
49,0,6,0,1,0,26,29,1,26,27,1,64,0,86,19,3,79,0,2,12,0,,1.556186,-0.188525,0,
50,0,6,0,1,0,26,29,1,26,27,1,64,0,86,19,3,79,0,2,12,0,1.86,1.556186,-0.121053,68016,68
51,0,6,0,1,0,26,29,1,26,27,1,64,0,86,19,3,79,0,2,12,0,1.86,1.502395,-0.874494,874409,125
52,0,6,0,1,0,26,29,1,26,27,1,64,0,86,19,3,79,0,2,12,0,,1.502395,-0.601671,55572,
53,1,4,1,3,1,13,0,6,13,0,6,9,3,6,0,1,5,0,0,3,0,,1.502395,0,0,
54,1,51,2,44,2,263,11,22,256,11,22,170,32,232,38,12,243,0,0,6,0,,1.524239,3.939039,669669,
55,1,7,0,4,0,12,6,5,7,6,4,10,0,10,0,0,6,0,0,2,0,,1.556186,0,0,
56,1,7,0,7,0,44,21,9,43,21,9,28,7,49,14,0,6,0,0,1,0,,1.502395,0,0,
57,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.795858,154056,
58,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,2.08,1.502395,-0.68798,53823,53
59,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.569915,0,
60,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.405732,0,
61,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.330467,0,
62,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.283456,0,
63,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.502395,-0.21098,269005,
64,8,52,1,46,1,178,26,63,174,26,63,209,87,145,14,3,238,0,0,22,2,,1.556186,5.792139,0,
65,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.556186,0,0,
66,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.502395,-2.440678,47687,
67,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.502395,-0.416185,116989,
68,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.502395,-0.210219,123655,
69,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.556186,4.322034,70659,
70,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.556186,3.477273,120004,
71,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,,1.502395,-4.861938,97220,
72,6,136,3,124,1,375,69,81,371,69,80,421,80,445,71,39,580,0,2,24,5,1.86,1.502395,-4.822236,17911,26
73,2,126,5,113,5,1073,28,62,1070,28,59,476,198,719,146,27,411,0,2,17,3,,1.746823,8.231811,56305,
74,2,126,5,113,5,1073,28,62,1070,28,59,476,198,719,146,27,411,0,2,17,3,,1.502395,-3.375965,0,
75,2,126,5,113,5,1073,28,62,1070,28,59,476,198,719,146,27,411,0,2,17,3,,1.502395,-3.262653,73420,
76,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,0,918670,
77,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,-0.567465,273921,
78,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,-0.487893,66013,
79,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,-0.418345,84718,
80,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,-1.302782,148448,
81,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.556186,-1.146974,192805,
82,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.502395,-8.095348,163479,
83,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.502395,-7.445545,119513,
84,8,224,10,213,6,687,251,174,680,251,174,814,159,980,190,77,1259,0,5,113,3,,1.524239,15.512509,156111,
85,1,14,1,11,1,113,9,14,113,9,14,54,31,92,24,0,357,0,2,6,4,,1.746823,3.054545,50343,
86,1,14,1,11,1,113,9,14,113,9,14,54,31,92,24,0,357,0,2,6,4,,1.556186,0.410714,96041,
87,0,6,0,4,0,122,6,6,122,6,6,32,34,43,3,0,93,0,1,0,2,,1.502395,-5.973631,129612,
88,0,41,3,34,0,285,77,27,281,77,27,281,69,289,38,16,352,0,0,10,6,,1.524239,-0.627558,0,
89,2,43,5,29,0,163,82,31,161,79,31,286,92,420,112,13,451,0,2,27,0,,1.524239,0.283784,0,
90,2,43,5,29,0,163,82,31,161,79,31,286,92,420,112,13,451,0,2,27,0,,1.524239,0.072165,137096,
91,2,43,5,29,0,163,82,31,161,79,31,286,92,420,112,13,451,0,2,27,0,,1.524239,0.724771,129274,
92,2,43,5,29,0,163,82,31,161,79,31,286,92,420,112,13,451,0,2,27,0,,1.502395,-12.932967,115493,
93,2,43,5,29,0,163,82,31,161,79,31,286,92,420,112,13,451,0,2,27,0,,1.502395,-11.612235,91080,
94,2,103,8,83,7,702,100,109,701,99,108,276,38,452,93,174,756,0,4,15,1,,1.502395,0,0,
95,2,103,8,83,7,702,100,109,701,99,108,276,38,452,93,174,756,0,4,15,1,,1.502395,-0.746903,561473,
96,2,103,8,83,7,702,100,109,701,99,108,276,38,452,93,174,756,0,4,15,1,,1.502395,0.598982,135826,
97,2,103,8,83,7,702,100,109,701,99,108,276,38,452,93,174,756,0,4,15,1,0.67,1.502395,0.584115,65275,45
98,2,103,8,83,7,702,100,109,701,99,108,276,38,452,93,174,756,0,4,15,1,,1.502395,-0.569196,361929,
99,2,72,1,60,1,193,60,65,189,59,63,329,83,374,69,32,370,0,0,30,0,,1.502395,0,210702,
100,2,72,1,60,1,193,60,65,189,59,63,329,83,374,69,32,370,0,0,30,0,,1.502395,0,255376,
101,2,72,1,60,1,193,60,65,189,59,63,329,83,374,69,32,370,0,0,30,0,,1.502395,-1.927201,37390,
102,2,72,1,60,1,193,60,65,189,59,63,329,83,374,69,32,370,0,0,30,0,,1.556186,6.740368,56394,
103,2,72,1,60,1,193,60,65,189,59,63,329,83,374,69,32,370,0,0,30,0,,1.556186,6.035337,37147,
104,1,8,0,7,0,24,42,9,24,42,9,50,9,96,24,7,146,0,0,11,0,,1.502395,-0.026667,108040,
105,3,49,1,45,1,162,11,36,160,11,36,153,21,229,44,3,224,0,0,8,5,,1.524239,-0.741294,176087,
106,3,49,1,45,1,162,11,36,160,11,36,153,21,229,44,3,224,0,0,8,5,1.14,1.524239,-0.551852,97575,69
107,3,49,1,45,1,162,11,36,160,11,36,153,21,229,44,3,224,0,0,8,5,,1.502395,-16.247706,59987,
108,4,117,1,110,1,411,116,80,403,116,80,463,125,537,113,25,653,0,0,37,3,,1.524239,0,110295,
109,4,117,1,110,1,411,116,80,403,116,80,463,125,537,113,25,653,0,0,37,3,,1.524239,0,254557,
110,4,117,1,110,1,411,116,80,403,116,80,463,125,537,113,25,653,0,0,37,3,,1.556186,-14.242191,0,
111,4,117,1,110,1,411,116,80,403,116,80,463,125,537,113,25,653,0,0,37,3,,1.556186,-12.049406,67944,
112,4,117,1,110,1,411,116,80,403,116,80,463,125,537,113,25,653,0,0,37,3,,1.556186,-10.657491,124825,
113,4,32,2,29,1,106,12,30,101,12,30,142,19,131,34,4,202,0,0,4,0,,1.502395,0,99632,
114,4,32,2,29,1,106,12,30,101,12,30,142,19,131,34,4,202,0,0,4,0,1.86,1.502395,0,29639,29
115,4,32,2,29,1,106,12,30,101,12,30,142,19,131,34,4,202,0,0,4,0,,1.502395,0,0,
116,4,32,2,29,1,106,12,30,101,12,30,142,19,131,34,4,202,0,0,4,0,,1.556186,3.390319,162690,
117,0,59,9,53,9,247,21,32,243,21,31,106,33,84,21,40,659,0,0,0,1,,1.502395,0,445,
118,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.524239,0,57642,
119,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.524239,0,93337,
120,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.556186,-6.957251,123835,
121,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.556186,-7.123145,87687,
122,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.556186,-5.264254,72148,
123,3,82,5,73,3,429,51,64,423,51,64,307,92,316,35,23,529,0,2,10,3,,1.556186,-4.068644,152314,
124,4,36,2,30,2,118,18,40,117,18,37,124,27,143,16,16,267,0,1,11,1,,1.502395,-6.592,97422,
125,4,36,2,30,2,118,18,40,117,18,37,124,27,143,16,16,267,0,1,11,1,,1.502395,-6.241245,53136,
126,4,36,2,30,2,118,18,40,117,18,37,124,27,143,16,16,267,0,1,11,1,0.67,1.502395,-5.776711,83978,62
127,4,36,2,30,2,118,18,40,117,18,37,124,27,143,16,16,267,0,1,11,1,,1.502395,-4.398537,73687,
128,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,0,
129,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,0,
130,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,32019,
131,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,24796,
132,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,0.67,1.502395,0,26660,36
133,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,0,
134,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0,233,
135,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,-0.94011,0,
136,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,-0.84829,71034,
137,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,1.14,1.502395,-0.828571,38078,98
138,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,1.86,1.502395,0.170274,18799,214
139,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,0.150638,381814,
140,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,2.08,1.502395,0.148117,30891,159
141,3,75,5,59,3,279,34,33,274,32,29,299,77,543,114,53,584,0,1,28,9,,1.502395,2.103792,60357,
142,1,83,2,68,2,361,44,42,353,43,41,233,45,231,62,22,575,0,0,10,0,,1.556186,0,450240,
143,1,83,2,68,2,361,44,42,353,43,41,233,45,231,62,22,575,0,0,10,0,,1.556186,0,98945,
144,1,83,2,68,2,361,44,42,353,43,41,233,45,231,62,22,575,0,0,10,0,,1.556186,0,157072,
145,1,83,2,68,2,361,44,42,353,43,41,233,45,231,62,22,575,0,0,10,0,,1.502395,-5.780347,43233,
146,1,83,2,68,2,361,44,42,353,43,41,233,45,231,62,22,575,0,0,10,0,,1.556186,3.272142,156747,
147,2,106,3,98,3,312,6,41,305,6,40,293,31,369,45,17,315,0,1,9,0,,1.556186,0,0,
148,2,106,3,98,3,312,6,41,305,6,40,293,31,369,45,17,315,0,1,9,0,,1.556186,1.122107,238695,
149,1,3,0,2,0,6,3,2,6,3,2,11,4,17,2,0,5,0,0,4,0,,1.502395,0,0,
150,2,59,4,51,3,262,32,46,257,32,46,174,31,176,25,14,274,0,0,7,2,,1.746823,0,108411,
151,2,59,4,51,3,262,32,46,257,32,46,174,31,176,25,14,274,0,0,7,2,,1.502395,-8.405941,0,
152,2,59,4,51,3,262,32,46,257,32,46,174,31,176,25,14,274,0,0,7,2,,1.502395,-6.123934,16128,
153,1,9,2,7,1,75,2,9,73,2,9,60,3,32,0,2,98,0,0,9,0,,1.502395,0,0,
154,2,63,3,60,2,195,16,58,193,16,56,192,48,223,25,20,190,0,0,17,0,,1.556186,0,116598,
155,2,63,3,60,2,195,16,58,193,16,56,192,48,223,25,20,190,0,0,17,0,,1.556186,0,75910,
156,2,63,3,60,2,195,16,58,193,16,56,192,48,223,25,20,190,0,0,17,0,,1.556186,0,218513,
157,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,,1.502395,0,316657,
158,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,2.08,1.502395,0,27783,46
159,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,,1.556186,9.605809,5857142,
160,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,,1.556186,6.941529,0,
161,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,,1.556186,6.484594,0,
162,4,22,3,15,1,101,38,26,97,37,26,89,42,103,15,3,236,0,0,12,9,,1.556186,5.632603,0,
163,2,53,13,51,13,170,27,77,168,27,77,126,35,132,8,80,214,0,0,36,0,,1.502395,0,257494,
164,2,53,13,51,13,170,27,77,168,27,77,126,35,132,8,80,214,0,0,36,0,1.86,1.502395,0,28297,18
165,3,15,2,11,2,59,8,18,59,8,17,42,14,56,3,11,109,0,0,11,6,,1.502395,0,0,
166,3,15,2,11,2,59,8,18,59,8,17,42,14,56,3,11,109,0,0,11,6,,1.502395,0,0,
167,3,15,2,11,2,59,8,18,59,8,17,42,14,56,3,11,109,0,0,11,6,,1.502395,0,106326,
168,3,15,2,11,2,59,8,18,59,8,17,42,14,56,3,11,109,0,0,11,6,,1.502395,0,0,
169,2,41,1,35,0,164,15,11,164,15,11,146,41,222,60,6,176,0,0,13,9,,1.502395,0,0,
170,2,41,1,35,0,164,15,11,164,15,11,146,41,222,60,6,176,0,0,13,9,,1.502395,0,0,
171,2,41,1,35,0,164,15,11,164,15,11,146,41,222,60,6,176,0,0,13,9,,1.502395,-0.3475,412980,
172,2,41,1,35,0,164,15,11,164,15,11,146,41,222,60,6,176,0,0,13,9,,1.502395,-0.216174,141260,
173,2,41,1,35,0,164,15,11,164,15,11,146,41,222,60,6,176,0,0,13,9,,1.524239,18.797311,0,
174,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.556186,0,39943,
175,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.556186,0,60924,
176,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.556186,0,104578,
177,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.556186,0,125168,
178,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.524239,7.542963,49460,
179,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.746823,4.196106,0,
180,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.746823,3.512224,189024,
181,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.746823,3.354086,0,
182,9,97,3,90,3,347,8,104,342,8,101,250,82,274,23,13,212,0,1,37,2,,1.746823,2.830206,91215,
183,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,-0.9631,0,
184,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.334702,0,
185,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.311663,0,
186,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.289007,0,
187,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,1.14,1.556186,0.281034,13942,16
188,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.263328,0,
189,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.250769,0,
190,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.502395,-2.190949,28600,
191,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.511872,115982,
192,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.475357,103953,
193,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.463631,0,
194,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.371515,0,
195,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,1.86,1.556186,0.365951,24451,158
196,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.361084,0,
197,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.502395,-2.636333,115427,
198,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.502395,-2.391682,48383,
199,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.694358,0,
200,10,165,6,139,2,359,59,79,350,57,75,483,61,649,124,37,687,0,1,27,5,,1.556186,0.680089,0,
201,4,113,2,110,2,332,59,82,332,59,82,268,34,269,41,29,111,0,6,31,3,,1.746823,0,57113,
202,4,113,2,110,2,332,59,82,332,59,82,268,34,269,41,29,111,0,6,31,3,,1.746823,0,70029,
203,4,113,2,110,2,332,59,82,332,59,82,268,34,269,41,29,111,0,6,31,3,,1.746823,-0.43038,299900,
204,4,113,2,110,2,332,59,82,332,59,82,268,34,269,41,29,111,0,6,31,3,,1.746823,-0.347125,166113,
205,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.556186,0,0,
206,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-1.691489,139984,
207,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.524239,18.264081,142249,
208,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-2.202778,94423,
209,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-2.83157,182096,
210,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-4.747637,0,
211,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-4.07012,83220,
212,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-0.981624,0,
213,5,113,7,103,5,569,137,124,563,135,122,402,106,427,80,29,630,0,0,43,14,,1.502395,-3.770328,128932,
214,3,7,1,7,1,26,5,13,26,5,13,19,14,11,0,6,20,0,0,5,0,,1.502395,0,88405,
215,3,7,1,7,1,26,5,13,26,5,13,19,14,11,0,6,20,0,0,5,0,2.08,1.502395,0,47797,53
216,3,7,1,7,1,26,5,13,26,5,13,19,14,11,0,6,20,0,0,5,0,2.08,1.502395,0,29520,87
217,2,27,2,21,0,56,16,22,54,16,22,170,16,144,6,15,168,0,1,15,1,,1.556186,3.333333,0,
218,2,27,2,21,0,56,16,22,54,16,22,170,16,144,6,15,168,0,1,15,1,,1.556186,0.118343,0,
219,2,27,2,21,0,56,16,22,54,16,22,170,16,144,6,15,168,0,1,15,1,0.67,1.556186,0.088106,61352,58
220,2,27,2,21,0,56,16,22,54,16,22,170,16,144,6,15,168,0,1,15,1,,1.556186,0.038911,103119,
221,2,27,2,21,0,56,16,22,54,16,22,170,16,144,6,15,168,0,1,15,1,,1.556186,0.0369,5348,
222,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.524239,0,0,
223,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.524239,-0.424207,561387,
224,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-13.75891,15622,
225,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-12.075437,0,
226,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-7.297924,529166,
227,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-6.37037,85720,
228,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-5.913431,432314,
229,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-10.702925,63683,
230,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-9.997291,17228,
231,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-9.495604,135715,
232,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-9.369022,0,
233,6,169,4,146,3,780,121,132,776,117,131,652,136,694,147,30,499,0,3,30,3,,1.502395,-9.232277,131114,
